"","Run","Assay.Type","AvgSpotLen","Bases","BioProject","BioSample","BioSampleModel","Bytes","Center.Name","Collection_Date","Consent","DATASTORE.filetype","DATASTORE.provider","DATASTORE.region","Experiment","geo_loc_name_country","geo_loc_name_country_continent","geo_loc_name","Host","Instrument","isolation_source","lat_lon","Library.Name","LibraryLayout","LibrarySelection","LibrarySource","Organism","Platform","ReleaseDate","create_date","version","Sample.Name","SRA.Study","amplicon"
"35","SRR25070583","AMPLICON",602,23577330,"PRJNA988238","SAMN36007572","Metagenome or environmental",13608144,"OREGON STATE UNIVERSITY","2020-07","public","run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public","SRX20824674","USA","North America","USA: Corvallis\, OR","109_D6","Illumina MiSeq","rhizosphere","44.555881 N 123.214569 W","109_D6","PAIRED","PCR","METAGENOMIC","rhizosphere metagenome","ILLUMINA","2023-06-29T00:00:00Z","2023-06-29T13:20:00Z",1,"109_D6","SRP446524","16S"
"36","SRR25070584","AMPLICON",602,33200300,"PRJNA988238","SAMN36007571","Metagenome or environmental",19031080,"OREGON STATE UNIVERSITY","2020-07","public","fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1","SRX20824673","USA","North America","USA: Corvallis\, OR","97_D178","Illumina MiSeq","rhizosphere","44.555881 N 123.214569 W","97_D178","PAIRED","PCR","METAGENOMIC","rhizosphere metagenome","ILLUMINA","2023-06-29T00:00:00Z","2023-06-29T13:20:00Z",1,"97_D178","SRP446524","16S"
"37","SRR25070585","AMPLICON",602,35910504,"PRJNA988238","SAMN36007570","Metagenome or environmental",20497552,"OREGON STATE UNIVERSITY","2020-07","public","run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1","SRX20824672","USA","North America","USA: Corvallis\, OR","96_A6","Illumina MiSeq","rhizosphere","44.555881 N 123.214569 W","96_A6","PAIRED","PCR","METAGENOMIC","rhizosphere metagenome","ILLUMINA","2023-06-29T00:00:00Z","2023-06-29T13:20:00Z",1,"96_A6","SRP446524","16S"
"38","SRR25070586","AMPLICON",602,38359440,"PRJNA988238","SAMN36007569","Metagenome or environmental",22200065,"OREGON STATE UNIVERSITY","2020-07","public","run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1","SRX20824671","USA","North America","USA: Corvallis\, OR","84_C106","Illumina MiSeq","rhizosphere","44.555881 N 123.214569 W","84_C106","PAIRED","PCR","METAGENOMIC","rhizosphere metagenome","ILLUMINA","2023-06-29T00:00:00Z","2023-06-29T13:20:00Z",1,"84_C106","SRP446524","16S"
"39","SRR25070587","AMPLICON",602,41887762,"PRJNA988238","SAMN36007568","Metagenome or environmental",23903969,"OREGON STATE UNIVERSITY","2020-07","public","fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1","SRX20824670","USA","North America","USA: Corvallis\, OR","72_B22","Illumina MiSeq","rhizosphere","44.555881 N 123.214569 W","72_B22","PAIRED","PCR","METAGENOMIC","rhizosphere metagenome","ILLUMINA","2023-06-29T00:00:00Z","2023-06-29T13:20:00Z",1,"72_B22","SRP446524","16S"
"40","SRR25070588","AMPLICON",602,40592860,"PRJNA988238","SAMN36007538","Metagenome or environmental",23579985,"OREGON STATE UNIVERSITY","2020-07","public","sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public","SRX20824669","USA","North America","USA: Corvallis\, OR","92_C121","Illumina MiSeq","rhizosphere","44.555881 N 123.214569 W","92_C121","PAIRED","PCR","METAGENOMIC","rhizosphere metagenome","ILLUMINA","2023-06-29T00:00:00Z","2023-06-29T13:20:00Z",1,"92_C121","SRP446524","16S"
"41","SRR25070589","AMPLICON",602,52790584,"PRJNA988238","SAMN36007537","Metagenome or environmental",30229319,"OREGON STATE UNIVERSITY","2020-07","public","fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public","SRX20824668","USA","North America","USA: Corvallis\, OR","80_C103","Illumina MiSeq","rhizosphere","44.555881 N 123.214569 W","80_C103","PAIRED","PCR","METAGENOMIC","rhizosphere metagenome","ILLUMINA","2023-06-29T00:00:00Z","2023-06-29T13:20:00Z",1,"80_C103","SRP446524","16S"
"42","SRR25070590","AMPLICON",602,37227680,"PRJNA988238","SAMN36007536","Metagenome or environmental",21404257,"OREGON STATE UNIVERSITY","2020-07","public","fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public","SRX20824667","USA","North America","USA: Corvallis\, OR","68_A53","Illumina MiSeq","rhizosphere","44.555881 N 123.214569 W","68_A53","PAIRED","PCR","METAGENOMIC","rhizosphere metagenome","ILLUMINA","2023-06-29T00:00:00Z","2023-06-29T13:20:00Z",1,"68_A53","SRP446524","16S"
"43","SRR25070591","AMPLICON",602,46375070,"PRJNA988238","SAMN36007535","Metagenome or environmental",26469195,"OREGON STATE UNIVERSITY","2020-07","public","sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public","SRX20824666","USA","North America","USA: Corvallis\, OR","56_PR","Illumina MiSeq","rhizosphere","44.555881 N 123.214569 W","56_PR","PAIRED","PCR","METAGENOMIC","rhizosphere metagenome","ILLUMINA","2023-06-29T00:00:00Z","2023-06-29T13:20:00Z",1,"56_PR","SRP446524","16S"
"44","SRR25070592","AMPLICON",602,41724620,"PRJNA988238","SAMN36007481","Metagenome or environmental",23884896,"OREGON STATE UNIVERSITY","2020-07","public","run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1","SRX20824665","USA","North America","USA: Corvallis\, OR","73_B53","Illumina MiSeq","rhizosphere","44.555881 N 123.214569 W","73_B53","PAIRED","PCR","METAGENOMIC","rhizosphere metagenome","ILLUMINA","2023-06-29T00:00:00Z","2023-06-29T13:20:00Z",1,"73_B53","SRP446524","16S"
