Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR25070604,AMPLICON,602,17203956,PRJNA988238,SAMN36007603,Metagenome or environmental,9837502,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX20824653,USA,North America,"USA: Corvallis\, OR",131_B27,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,131_B27,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,131_B27,SRP446524
SRR25070605,AMPLICON,602,37872422,PRJNA988238,SAMN36007602,Metagenome or environmental,21728804,OREGON STATE UNIVERSITY,2020-07,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX20824652,USA,North America,"USA: Corvallis\, OR",119_A131,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,119_A131,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:21:00Z,1,119_A131,SRP446524
SRR25070606,AMPLICON,602,41251448,PRJNA988238,SAMN36007601,Metagenome or environmental,23541926,OREGON STATE UNIVERSITY,2020-07,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX20824651,USA,North America,"USA: Corvallis\, OR",107_C76,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,107_C76,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,107_C76,SRP446524
SRR25070607,AMPLICON,602,28830984,PRJNA988238,SAMN36007600,Metagenome or environmental,16550234,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX20824650,USA,North America,"USA: Corvallis\, OR",130_B27,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,130_B27,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,130_B27,SRP446524
SRR25070608,AMPLICON,602,25303264,PRJNA988238,SAMN36007599,Metagenome or environmental,14582086,OREGON STATE UNIVERSITY,2020-07,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX20824649,USA,North America,"USA: Corvallis\, OR",118_A131,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,118_A131,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,118_A131,SRP446524
SRR25070609,AMPLICON,443,24416794,PRJNA988238,SAMN36007598,Metagenome or environmental,13180760,OREGON STATE UNIVERSITY,2020-07,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX20824648,USA,North America,"USA: Corvallis\, OR",106_C76,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,106_C76,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-09-01T00:00:00Z,2023-09-01T12:38:00Z,1,106_C76,SRP446524
SRR25070610,AMPLICON,602,17551310,PRJNA988238,SAMN36007597,Metagenome or environmental,10133133,OREGON STATE UNIVERSITY,2020-07,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX20824647,USA,North America,"USA: Corvallis\, OR",129_B39,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,129_B39,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,129_B39,SRP446524
SRR25070611,AMPLICON,602,33131070,PRJNA988238,SAMN36007596,Metagenome or environmental,19016279,OREGON STATE UNIVERSITY,2020-07,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX20824646,USA,North America,"USA: Corvallis\, OR",117_B91,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,117_B91,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,117_B91,SRP446524
SRR25070612,AMPLICON,602,37018184,PRJNA988238,SAMN36007595,Metagenome or environmental,21204836,OREGON STATE UNIVERSITY,2020-07,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX20824645,USA,North America,"USA: Corvallis\, OR",105_C92,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,105_C92,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,105_C92,SRP446524
SRR25070613,AMPLICON,602,19589682,PRJNA988238,SAMN36007487,Metagenome or environmental,11283776,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX20824644,USA,North America,"USA: Corvallis\, OR",50_A67,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,50_A67,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,50_A67,SRP446524
